sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,affect_ANGRY,affect_HAPPY,affect_RELAXED,affect_SAD
34,6768155,572.5,-610.0,4045.5,2077710.5,68.0,,,,,,RELAXED,,17065926.5,0,0,1,0
35,397712,568.6666666666666,994.6666666666666,3915.0,2031973.3333333333,98.0,,,,,,RELAXED,,16639968.555555556,0,0,1,0
35,2545399,1205.5,97.0,3894.5,2191081.5,93.0,,,,,,HAPPY,,16629769.5,0,1,0,0
35,3186523,-617.5,-909.5,3862.5,2133340.0,88.0,,,,,,HAPPY,,16127402.75,0,1,0,0
35,3840106,-442.5,-773.5,3889.5,2009222.5,102.0,,,,,,SAD,,15922318.75,0,0,0,1
35,5142614,-7.0,783.0,4000.5,2079130.5,92.0,,,,,,RELAXED,,16617138.25,0,0,1,0
35,7031626,1171.0,1101.0,3849.5,2115590.5,94.0,,,,,,HAPPY,,17402092.25,0,1,0,0
36,438634,-279.5,790.5,4056.0,2009074.0,78.0,,,,,,RELAXED,,17154146.5,0,0,1,0
36,1677466,285.5,873.5,3983.0,1853280.5,83.0,,,,,,RELAXED,,16708801.5,0,0,1,0
36,2207991,-100.5,805.0,4338.5,2097720.0,0.0,,,,,,HAPPY,,19480707.5,0,1,0,0
36,3494448,109.5,351.0,4077.0,2176003.5,0.0,,,,,,HAPPY,,16757120.25,0,1,0,0
36,4324146,-253.5,446.0,3984.5,2212876.0,96.0,,,,,,HAPPY,,16139418.5,0,1,0,0
36,5567125,1073.0,2096.5,3612.5,2127836.0,88.0,,,,,,HAPPY,,18596797.5,0,1,0,0
36,6862248,-236.0,2224.0,3316.0,2253443.0,83.0,,,,,,RELAXED,,15997728.0,0,0,1,0
36,7194868,173.0,15.5,4077.0,2220863.5,77.0,,,,,,HAPPY,,16652098.25,0,1,0,0
37,1062138,-357.0,2442.5,3275.5,2322748.5,75.0,,,,,,RELAXED,,16822155.5,0,0,1,0
37,1797225,478.5,2371.0,3377.0,1874495.5,71.0,,,,,,RELAXED,,17254732.25,0,0,1,0
37,4588987,509.5,-314.0,4227.0,2384245.5,73.0,,,,,,HAPPY,,18225715.25,0,1,0,0
37,4982202,-305.0,-186.5,4121.0,2456257.5,0.0,,,,,,HAPPY,,17110448.25,0,1,0,0
37,7054104,-1363.3333333333333,2018.0,3297.0,2293698.6666666665,0.0,,,,,,HAPPY,,16801210.777777776,0,1,0,0
37,8418725,515.0,-85.0,4200.0,2369494.5,69.0,,,,,,RELAXED,,17912450.0,0,0,1,0
38,382489,773.0,1208.5,4524.5,1732536.5,83.0,,,,,,RELAXED,,22529101.5,0,0,1,0
38,1615355,719.5,790.0,4093.5,2217886.0,94.0,,,,,,HAPPY,,17898522.5,0,1,0,0
38,2211711,1170.0,1374.0,3769.5,2203635.5,0.0,,,,,,RELAXED,,17465906.25,0,0,1,0
38,3477561,1670.0,1194.0,3640.0,2170106.5,91.0,,,,,,RELAXED,,17464136.0,0,0,1,0
38,4088316,673.0,1161.5,4118.5,2334913.0,0.0,,,,,,HAPPY,,18764053.5,0,1,0,0
38,5435065,774.5,916.0,3934.5,2197797.0,0.0,,,,,,HAPPY,,16919196.5,0,1,0,0
38,7491906,703.5,1267.5,3822.5,2063221.0,0.0,,,,,,HAPPY,,16712974.75,0,1,0,0
38,8137070,805.0,1488.5,4209.0,2100281.0,0.0,,,,,,RELAXED,,20579338.25,0,0,1,0
38,8885754,201.5,2199.0,3407.0,2104755.0,0.0,,,,,,HAPPY,,16483852.25,0,1,0,0
39,422552,550.0,1071.5,3866.0,2080315.0,0.0,,,,,,HAPPY,,16396568.25,0,1,0,0
39,1793261,827.0,849.5,4045.5,3199085.5,0.0,,,,,,RELAXED,,17771649.5,0,0,1,0
39,2468346,527.0,1648.5,3839.5,3205457.0,0.0,,,,,,HAPPY,,17737041.5,0,1,0,0
39,3722617,108.0,1337.0,3876.0,2576881.0,0.0,,,,,,HAPPY,,16822609.0,0,1,0,0
39,4263468,501.5,906.0,4057.0,2223800.5,89.0,,,,,,HAPPY,,17531587.25,0,1,0,0
39,5517991,239.5,1280.0,3911.0,2596121.5,0.0,,,,,,HAPPY,,16991681.25,0,1,0,0
39,6458824,809.0,-23.0,4084.0,2529282.0,0.0,,,,,,HAPPY,,17334066.0,0,1,0,0
39,6805469,426.5,463.5,4104.5,2782695.5,0.0,,,,,,HAPPY,,17243654.75,0,1,0,0
40,2253095,459.0,1063.5,3940.5,2166672.0,92.0,,,,,,RELAXED,,16869253.5,0,0,1,0
40,3445742,103.5,1006.5,4011.0,2241331.5,0.0,,,,,,RELAXED,,17111875.5,0,0,1,0
40,5970823,-401.5,1450.5,4032.5,2267832.0,0.0,,,,,,RELAXED,,18526208.75,0,0,1,0
41,547525,-475.5,267.5,4150.0,2206123.5,79.0,,,,,,RELAXED,,17520156.5,0,0,1,0
41,1197994,-286.5,-623.0,4098.0,2206422.0,70.0,,,,,,RELAXED,,17263815.25,0,0,1,0
